time,supercategory,category,subcategory,segment,manufacturer,product,sales,tdp,upc
CY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,THE_HERSHEY_CO,CONTAINS ARTIFICIAL COLORS ,167997491,146.3,77
CY,"CANDY,_GUM,_MINTS",CONFECTION,MULTI_SERVE,LOLLIPOP,SPANGLER_CANDY_COMPANY,CONTAINS ARTIFICIAL FLAVORS ,56244316,146.3,40
CY,"CANDY,_GUM,_MINTS",CHOCOLATE,SINGLE_SERVE,DARK_CHOCOLATE,MONDELEZ_INTERNATIONAL_INC,FREE FROM ANTIBIOTICS ,44958233,146.3,21
CY,"CANDY,_GUM,_MINTS",CHOCOLATE,SINGLE_SERVE,DARK_CHOCOLATE,MONDELEZ_INTERNATIONAL_INC,CONTAINS ADDED SUGAR ,44958233,146.3,21
LY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,YILDIZ_HOLDING_A.S.,1G TO LESS THAN 2.5G FIBER PER SERVING ,65238410,146.2,49
CY,"CANDY,_GUM,_MINTS",CHOCOLATE,SINGLE_SERVE,DARK_CHOCOLATE,MONDELEZ_INTERNATIONAL_INC,FREE FROM ARTIFICIAL COLORS ,44920134,146.2,20
CY,"CANDY,_GUM,_MINTS",CHOCOLATE,SINGLE_SERVE,DARK_CHOCOLATE,MONDELEZ_INTERNATIONAL_INC,FREE FROM ARTIFICIAL PRESERVATIVES ,44920134,146.2,20
CY,"CANDY,_GUM,_MINTS",CHOCOLATE,SINGLE_SERVE,DARK_CHOCOLATE,MONDELEZ_INTERNATIONAL_INC,FREE FROM ARTIFICIAL SWEETENERS ,44920134,146.2,20
CY,"CANDY,_GUM,_MINTS",CHOCOLATE,SINGLE_SERVE,DARK_CHOCOLATE,MONDELEZ_INTERNATIONAL_INC,FREE FROM HIGH FRUCTOSE CORN SYRUP ,44920134,146.2,20
CY,"CANDY,_GUM,_MINTS",CHOCOLATE,SINGLE_SERVE,DARK_CHOCOLATE,MONDELEZ_INTERNATIONAL_INC,FREE FROM HORMONES ,44920134,146.2,20
CY,"CANDY,_GUM,_MINTS",CHOCOLATE,SINGLE_SERVE,DARK_CHOCOLATE,MONDELEZ_INTERNATIONAL_INC,FREE FROM MSG ,44920134,146.2,20
LY,"CANDY,_GUM,_MINTS",CONFECTION,MULTI_SERVE,MARSHMALLOW,JUST_BORN_INC,FREE FROM ANTIBIOTICS ,61387274,146.1,44
LY,"CANDY,_GUM,_MINTS",CONFECTION,MULTI_SERVE,MARSHMALLOW,JUST_BORN_INC,CONTAINS ARTIFICIAL PRESERVATIVES ,61387274,146.1,44
LY,"CANDY,_GUM,_MINTS",CONFECTION,MULTI_SERVE,MARSHMALLOW,JUST_BORN_INC,FREE FROM ARTIFICIAL SWEETENERS ,61387274,146.1,44
LY,"CANDY,_GUM,_MINTS",CONFECTION,MULTI_SERVE,MARSHMALLOW,JUST_BORN_INC,FREE FROM CAFFEINE ,61387274,146.1,44
LY,"CANDY,_GUM,_MINTS",CONFECTION,MULTI_SERVE,MARSHMALLOW,JUST_BORN_INC,FREE FROM HIGH FRUCTOSE CORN SYRUP ,61387274,146.1,44
LY,"CANDY,_GUM,_MINTS",CONFECTION,MULTI_SERVE,MARSHMALLOW,JUST_BORN_INC,FREE FROM HORMONES ,61387274,146.1,44
LY,"CANDY,_GUM,_MINTS",CONFECTION,MULTI_SERVE,MARSHMALLOW,JUST_BORN_INC,FREE FROM LACTOSE ,61387274,146.1,44
LY,"CANDY,_GUM,_MINTS",CONFECTION,MULTI_SERVE,MARSHMALLOW,JUST_BORN_INC,FREE FROM MSG ,61387274,146.1,44
LY,"CANDY,_GUM,_MINTS",CONFECTION,MULTI_SERVE,MARSHMALLOW,JUST_BORN_INC,FREE FROM NATURAL COLORS ,61387274,146.1,44
LY,"CANDY,_GUM,_MINTS",CONFECTION,MULTI_SERVE,MARSHMALLOW,JUST_BORN_INC,CONTAINS NATURAL SWEETENERS ,61387274,146.1,44
LY,"CANDY,_GUM,_MINTS",CONFECTION,MULTI_SERVE,MARSHMALLOW,JUST_BORN_INC,FREE FROM PEANUT ,61387274,146.1,44
LY,"CANDY,_GUM,_MINTS",CONFECTION,MULTI_SERVE,MARSHMALLOW,JUST_BORN_INC,FREE FROM SOY ,61387274,146.1,44
LY,"CANDY,_GUM,_MINTS",CONFECTION,MULTI_SERVE,MARSHMALLOW,JUST_BORN_INC,HIGH LIKELIHOOD OF GMO INGREDIENTS ,61387272,146.1,43
LY,"CANDY,_GUM,_MINTS",CONFECTION,MULTI_SERVE,JELLY_BEAN,FERRARA_CANDY_COMPANY_INC,FREE FROM LACTOSE ,68005778,146,136
CY,"CANDY,_GUM,_MINTS",GUM,SUGAR_FREE,FRUIT,PERFETTI_VAN_MELLE,REDUCED CALORIE ,55320277,146,60
